Distributor,YEAR,SEX,Count,Percentage
DC,1935,Male Characters,1,100
DC,1936,Female Characters,2,22.22222222
DC,1936,Male Characters,7,77.77777778
DC,1937,Female Characters,1,25
DC,1937,Male Characters,3,75
DC,1938,Female Characters,1,10
DC,1938,Male Characters,9,90
DC,1939,Female Characters,5,27.77777778
DC,1939,Male Characters,13,72.22222222
DC,1940,,2,3.125
DC,1940,Female Characters,11,17.1875
DC,1940,Male Characters,51,79.6875
DC,1941,Female Characters,8,13.1147541
DC,1941,Male Characters,53,86.8852459
DC,1942,Female Characters,5,9.615384615
DC,1942,Male Characters,47,90.38461538
DC,1943,Male Characters,14,100
DC,1944,Female Characters,3,20
DC,1944,Male Characters,12,80
DC,1945,Male Characters,7,100
DC,1946,Female Characters,1,11.11111111
DC,1946,Male Characters,8,88.88888889
DC,1947,Female Characters,5,25
DC,1947,Male Characters,15,75
DC,1948,,1,5
DC,1948,Female Characters,4,20
DC,1948,Male Characters,15,75
DC,1949,Male Characters,6,100
DC,1950,Male Characters,9,100
DC,1951,Female Characters,1,8.333333333
DC,1951,Male Characters,11,91.66666667
DC,1952,Male Characters,5,100
DC,1953,Male Characters,1,100
DC,1954,Male Characters,7,100
DC,1955,Female Characters,2,16.66666667
DC,1955,Male Characters,10,83.33333333
DC,1956,Female Characters,2,15.38461538
DC,1956,Male Characters,11,84.61538462
DC,1957,,1,7.692307692
DC,1957,Female Characters,2,15.38461538
DC,1957,Male Characters,10,76.92307692
DC,1958,Female Characters,2,13.33333333
DC,1958,Male Characters,13,86.66666667
DC,1959,Female Characters,7,20.58823529
DC,1959,Male Characters,27,79.41176471
DC,1960,Female Characters,4,10.25641026
DC,1960,Male Characters,35,89.74358974
DC,1961,Female Characters,7,14
DC,1961,Genderless Characters,1,2
DC,1961,Male Characters,42,84
DC,1962,,2,4.761904762
DC,1962,Female Characters,5,11.9047619
DC,1962,Male Characters,35,83.33333333
DC,1963,Female Characters,6,15
DC,1963,Male Characters,34,85
DC,1964,,2,6.451612903
DC,1964,Female Characters,6,19.35483871
DC,1964,Male Characters,23,74.19354839
DC,1965,Female Characters,8,16
DC,1965,Male Characters,42,84
DC,1966,,1,1.639344262
DC,1966,Female Characters,11,18.03278689
DC,1966,Male Characters,49,80.32786885
DC,1967,,2,3.571428571
DC,1967,Female Characters,9,16.07142857
DC,1967,Male Characters,45,80.35714286
DC,1968,,1,1.639344262
DC,1968,Female Characters,19,31.14754098
DC,1968,Male Characters,41,67.21311475
DC,1969,Female Characters,10,43.47826087
DC,1969,Male Characters,13,56.52173913
DC,1970,,1,3.571428571
DC,1970,Female Characters,3,10.71428571
DC,1970,Male Characters,24,85.71428571
DC,1971,,2,3.076923077
DC,1971,Female Characters,7,10.76923077
DC,1971,Male Characters,56,86.15384615
DC,1972,,2,3.278688525
DC,1972,Female Characters,18,29.50819672
DC,1972,Male Characters,41,67.21311475
DC,1973,Female Characters,4,20
DC,1973,Male Characters,16,80
DC,1974,,1,5.882352941
DC,1974,Genderless Characters,1,5.882352941
DC,1974,Male Characters,15,88.23529412
DC,1975,Female Characters,3,7.692307692
DC,1975,Male Characters,36,92.30769231
DC,1976,Female Characters,12,26.66666667
DC,1976,Male Characters,33,73.33333333
DC,1977,Female Characters,11,21.15384615
DC,1977,Genderless Characters,1,1.923076923
DC,1977,Male Characters,40,76.92307692
DC,1978,Female Characters,20,33.33333333
DC,1978,Male Characters,40,66.66666667
DC,1979,Female Characters,4,13.79310345
DC,1979,Male Characters,25,86.20689655
DC,1980,Female Characters,10,27.77777778
DC,1980,Male Characters,26,72.22222222
DC,1981,,3,2.521008403
DC,1981,Female Characters,31,26.05042017
DC,1981,Genderless Characters,1,0.840336134
DC,1981,Male Characters,84,70.58823529
DC,1982,,3,2.702702703
DC,1982,Female Characters,31,27.92792793
DC,1982,Male Characters,77,69.36936937
DC,1983,,3,1.863354037
DC,1983,Female Characters,53,32.91925466
DC,1983,Male Characters,105,65.2173913
DC,1984,,3,2.127659574
DC,1984,Female Characters,40,28.36879433
DC,1984,Male Characters,98,69.5035461
DC,1985,,5,4.347826087
DC,1985,Female Characters,39,33.91304348
DC,1985,Genderless Characters,1,0.869565217
DC,1985,Male Characters,70,60.86956522
DC,1986,,3,2.272727273
DC,1986,Female Characters,37,28.03030303
DC,1986,Male Characters,92,69.6969697
DC,1987,,2,0.787401575
DC,1987,Female Characters,87,34.2519685
DC,1987,Genderless Characters,2,0.787401575
DC,1987,Male Characters,163,64.17322835
DC,1988,,3,1.048951049
DC,1988,Female Characters,88,30.76923077
DC,1988,Genderless Characters,2,0.699300699
DC,1988,Male Characters,193,67.48251748
DC,1989,,6,2.255639098
DC,1989,Female Characters,103,38.72180451
DC,1989,Genderless Characters,1,0.37593985
DC,1989,Male Characters,156,58.64661654
DC,1990,,1,0.571428571
DC,1990,Female Characters,53,30.28571429
DC,1990,Genderless Characters,1,0.571428571
DC,1990,Male Characters,120,68.57142857
DC,1991,,6,4.137931034
DC,1991,Female Characters,49,33.79310345
DC,1991,Male Characters,90,62.06896552
DC,1992,,3,1.685393258
DC,1992,Female Characters,41,23.03370787
DC,1992,Male Characters,134,75.28089888
DC,1993,,5,2.392344498
DC,1993,Female Characters,56,26.79425837
DC,1993,Male Characters,148,70.81339713
DC,1994,,6,2.608695652
DC,1994,Female Characters,70,30.43478261
DC,1994,Genderless Characters,1,0.434782609
DC,1994,Male Characters,153,66.52173913
DC,1995,,3,1.744186047
DC,1995,Female Characters,40,23.25581395
DC,1995,Male Characters,129,75
DC,1996,,1,0.531914894
DC,1996,Female Characters,62,32.9787234
DC,1996,Male Characters,125,66.4893617
DC,1997,,1,0.529100529
DC,1997,Female Characters,51,26.98412698
DC,1997,Genderless Characters,1,0.529100529
DC,1997,Male Characters,136,71.95767196
DC,1998,,4,2.797202797
DC,1998,Female Characters,45,31.46853147
DC,1998,Genderless Characters,2,1.398601399
DC,1998,Male Characters,92,64.33566434
DC,1999,,2,1.117318436
DC,1999,Female Characters,61,34.07821229
DC,1999,Male Characters,116,64.80446927
DC,2000,,3,1.973684211
DC,2000,Female Characters,46,30.26315789
DC,2000,Genderless Characters,1,0.657894737
DC,2000,Male Characters,102,67.10526316
DC,2001,,3,3.03030303
DC,2001,Female Characters,42,42.42424242
DC,2001,Male Characters,54,54.54545455
DC,2002,,4,3.47826087
DC,2002,Female Characters,41,35.65217391
DC,2002,Male Characters,70,60.86956522
DC,2003,Female Characters,32,31.06796117
DC,2003,Male Characters,71,68.93203883
DC,2004,Female Characters,31,30.39215686
DC,2004,Male Characters,71,69.60784314
DC,2005,,1,0.628930818
DC,2005,Female Characters,54,33.96226415
DC,2005,Genderless Characters,2,1.257861635
